Ticker
AUDCAD
AUDCHF
AUDJPY
AUDNZD
AUDUSD
CADCHF
CADJPY
CHFJPY
EURAUD
EURCAD
EURCHF
EURGBP
EURHKD
EURJPY
EURMXN
EURNZD
EURRUB
EURSGD
EURTRY
EURUSD
EURZAR
GBPAUD
GBPCAD
GBPCHF
GBPJPY
GBPNZD
GBPUSD
NZDCAD
NZDCHF
NZDJPY
NZDUSD
USDCAD
USDCHF
USDCZK
USDDKK
USDHKD
USDHUF
USDJPY
USDMXN
USDNOK
USDPLN
USDRUB
USDSEK
USDSGD
USDTRY
USDZAR
XAGEUR
XAGUSD
XAUEUR
XAUUSD
